row no.,tree no.,X,Y
1,1.00,725472.25,4162747.75
1,2.00,725464.75,4162743.25
1,3.00,725463.18,4162743.20
1,4.00,725461.25,4162740.75
1,5.00,725459.25,4162739.25
1,6.00,725455.75,4162737.25
1,7.00,725453.24,4162736.07
1,8.00,725447.75,4162731.75
1,9.00,725441.25,4162727.25
1,10.00,725440.25,4162725.75
1,11.00,725434.75,4162722.75
1,12.00,725432.75,4162722.25
1,13.00,725431.25,4162720.25
1,14.00,725427.75,4162717.75
1,15.00,725424.75,4162715.75
1,16.00,725421.25,4162713.25
1,17.00,725419.25,4162712.25
1,18.00,725414.25,4162709.25
1,19.00,725410.75,4162707.25
1,20.00,725408.25,4162705.75
1,21.00,725405.75,4162703.25
1,22.00,725403.25,4162702.75
1,23.00,725400.25,4162700.25
1,24.00,725398.25,4162699.75
1,25.00,725396.25,4162698.25
1,26.00,725393.25,4162696.25
1,27.00,725390.25,4162693.75
1,28.00,725385.25,4162690.25
1,29.00,725382.25,4162688.25
1,30.00,725380.75,4162689.25
1,31.00,725380.25,4162686.25
1,32.00,725378.25,4162686.25
1,33.00,725374.75,4162683.25
1,34.00,725373.25,4162682.25
1,35.00,725369.25,4162679.75
1,36.00,725366.25,4162677.75
1,37.00,725364.75,4162676.25
2,1.00,725477.25,4162747.25
2,2.00,725475.75,4162747.75
2,3.00,725474.26,4162747.00
2,4.00,725473.25,4162745.25
2,5.00,725469.25,4162741.75
2,6.00,725467.25,4162740.75
2,7.00,725465.75,4162739.25
2,8.00,725464.25,4162738.75
2,9.00,725461.25,4162736.25
2,10.00,725459.61,4162735.46
2,11.00,725457.81,4162734.52
2,12.00,725456.75,4162733.75
2,13.00,725455.44,4162732.38
2,14.00,725453.75,4162731.75
2,15.00,725450.75,4162729.75
2,16.00,725448.75,4162728.75
2,17.00,725446.75,4162726.75
2,18.00,725444.75,4162725.75
2,19.00,725441.32,4162723.68
2,20.00,725439.25,4162723.25
2,21.00,725438.75,4162721.25
2,22.00,725436.25,4162720.25
2,23.00,725433.25,4162718.25
2,24.00,725430.00,4162716.22
2,25.00,725429.36,4162715.10
2,26.00,725426.75,4162714.25
2,27.00,725424.25,4162712.25
2,28.00,725417.75,4162708.25
2,29.00,725408.75,4162702.25
2,30.00,725402.75,4162698.25
2,31.00,725397.25,4162694.75
2,32.00,725394.25,4162692.75
2,33.00,725392.75,4162691.25
2,34.00,725391.25,4162690.25
2,35.00,725389.25,4162689.75
2,36.00,725387.75,4162688.75
2,37.00,725386.25,4162687.75
2,38.00,725383.25,4162685.75
2,39.00,725378.75,4162682.75
2,40.00,725377.25,4162681.75
2,41.00,725372.75,4162678.25
2,42.00,725369.75,4162676.25
2,43.00,725367.78,4162675.61
2,44.00,725366.75,4162674.75
2,45.00,725364.25,4162674.25
3,1.00,725479.25,4162743.75
3,2.00,725475.75,4162742.75
3,3.00,725473.75,4162741.25
3,4.00,725470.75,4162739.25
3,5.00,725468.75,4162738.25
3,6.00,725467.75,4162736.75
3,7.00,725466.25,4162736.25
3,8.00,725461.75,4162733.25
3,9.00,725458.75,4162731.25
3,10.00,725456.75,4162730.25
3,11.00,725453.75,4162727.75
3,12.00,725452.88,4162726.76
3,13.00,725451.25,4162725.75
3,14.00,725449.25,4162725.25
3,15.00,725447.75,4162723.75
3,16.00,725445.25,4162722.25
3,17.00,725443.25,4162721.25
3,18.00,725441.25,4162720.25
3,19.00,725437.75,4162717.75
3,20.00,725434.75,4162715.25
3,21.00,725431.75,4162713.25
3,22.00,725428.75,4162711.75
3,23.00,725426.25,4162709.25
3,24.00,725422.75,4162707.25
3,25.00,725419.25,4162705.75
3,26.00,725413.25,4162701.75
3,27.00,725410.60,4162698.37
3,28.00,725407.25,4162697.75
3,29.00,725404.25,4162695.75
3,30.00,725400.75,4162693.25
3,31.00,725398.75,4162692.25
3,32.00,725395.75,4162690.25
3,33.00,725393.25,4162688.25
3,34.00,725390.25,4162685.75
3,35.00,725388.25,4162685.25
3,36.00,725386.75,4162683.75
3,37.00,725384.25,4162681.75
3,38.00,725382.53,4162680.96
3,39.00,725380.25,4162680.25
3,40.00,725379.25,4162678.75
3,41.00,725376.25,4162676.75
3,42.00,725374.28,4162676.21
3,43.00,725371.25,4162674.25
3,44.00,725370.25,4162673.25
3,45.00,725365.88,4162672.52
3,46.00,725366.75,4162670.75
3,47.00,725363.75,4162670.75
4,1.00,725476.75,4162739.75
4,2.00,725475.70,4162738.77
4,3.00,725474.25,4162737.25
4,4.00,725470.75,4162735.75
4,5.00,725469.75,4162734.75
4,6.00,725466.25,4162732.75
4,7.00,725463.25,4162730.75
4,8.00,725461.75,4162729.75
4,9.00,725459.90,4162728.86
4,10.00,725457.25,4162726.75
4,11.00,725455.75,4162725.75
4,12.00,725452.75,4162723.25
4,13.00,725449.25,4162721.75
4,14.00,725448.25,4162720.25
4,15.00,725446.67,4162719.50
4,16.00,725445.25,4162718.75
4,17.00,725441.75,4162716.75
4,18.00,725439.75,4162715.25
4,19.00,725436.75,4162712.75
4,20.00,725430.75,4162709.25
4,21.00,725427.25,4162707.25
4,22.00,725424.41,4162706.97
4,23.00,725421.25,4162702.75
4,24.00,725418.25,4162700.75
4,25.00,725415.25,4162699.25
4,26.00,725411.75,4162697.25
4,27.00,725408.75,4162695.25
4,28.00,725406.25,4162692.75
4,29.00,725402.75,4162690.25
4,30.00,725399.75,4162688.25
4,31.00,725397.25,4162688.25
4,32.00,725396.75,4162685.75
4,33.00,725394.75,4162685.75
4,34.00,725391.75,4162683.25
4,35.00,725390.25,4162682.25
4,36.00,725388.77,4162681.42
4,37.00,725386.75,4162680.75
4,38.00,725384.27,4162678.40
4,39.00,725382.25,4162677.25
4,40.00,725379.75,4162675.25
4,41.00,725378.25,4162674.75
4,42.00,725376.25,4162673.25
4,43.00,725374.75,4162672.25
4,44.00,725372.25,4162670.75
4,45.00,725370.00,4162669.43
4,46.00,725365.25,4162667.75
5,1.00,725483.75,4162741.25
5,2.00,725481.75,4162739.25
5,3.00,725478.75,4162737.75
5,4.00,725477.25,4162736.25
5,5.00,725476.32,4162735.28
5,6.00,725473.75,4162734.75
5,7.00,725471.25,4162732.25
5,8.00,725467.75,4162730.25
5,9.00,725466.75,4162729.25
5,10.00,725464.75,4162727.75
5,11.00,725462.25,4162725.75
5,12.00,725459.25,4162724.25
5,13.00,725457.75,4162723.25
5,14.00,725455.75,4162721.75
5,15.00,725454.25,4162720.75
5,16.00,725451.25,4162718.75
5,17.00,725449.75,4162717.75
5,18.00,725448.25,4162716.75
5,19.00,725446.25,4162715.75
5,20.00,725443.75,4162713.75
5,21.00,725441.25,4162712.75
5,22.00,725438.75,4162710.75
5,23.00,725432.25,4162706.75
5,24.00,725429.25,4162704.75
5,25.00,725423.25,4162701.25
5,26.00,725419.75,4162698.75
5,27.00,725416.75,4162696.75
5,28.00,725413.75,4162694.75
5,29.00,725410.25,4162692.75
5,30.00,725408.25,4162690.75
5,31.00,725405.75,4162688.75
5,32.00,725402.25,4162686.75
5,33.00,725400.75,4162685.75
5,34.00,725399.25,4162684.25
5,35.00,725397.96,4162683.80
5,36.00,725395.75,4162683.25
5,37.00,725393.75,4162680.75
5,38.00,725391.75,4162679.75
5,39.00,725389.96,4162679.06
5,40.00,725388.68,4162678.00
5,41.00,725387.53,4162676.92
5,42.00,725386.25,4162675.75
5,43.00,725384.25,4162674.75
5,44.00,725382.75,4162673.75
5,45.00,725379.75,4162671.75
5,46.00,725376.75,4162669.75
5,47.00,725374.75,4162669.25
5,48.00,725373.25,4162667.75
5,49.00,725370.25,4162666.25
5,50.00,725366.32,4162664.19
5,51.00,725367.25,4162662.25
6,1.00,725480.75,4162735.25
6,2.00,725478.75,4162733.75
6,3.00,725475.75,4162731.75
6,4.00,725473.34,4162731.29
6,5.00,725472.75,4162730.25
6,6.00,725471.25,4162728.75
6,7.00,725470.25,4162727.75
6,8.00,725468.25,4162726.75
6,9.00,725465.25,4162724.75
6,10.00,725459.25,4162720.75
6,11.00,725457.75,4162719.75
6,12.00,725454.25,4162717.75
6,13.00,725451.25,4162715.75
6,14.00,725449.75,4162715.25
6,15.00,725447.03,4162712.84
6,16.00,725445.25,4162711.75
6,17.00,725443.25,4162710.25
6,18.00,725437.25,4162706.25
6,19.00,725434.25,4162704.25
6,20.00,725430.75,4162702.25
6,21.00,725427.75,4162700.25
6,22.00,725424.25,4162698.25
6,23.00,725421.75,4162696.25
6,24.00,725418.75,4162694.75
6,25.00,725415.25,4162692.25
6,26.00,725412.75,4162690.75
6,27.00,725409.75,4162687.75
6,28.00,725407.85,4162686.75
6,29.00,725405.25,4162685.75
6,30.00,725404.25,4162684.75
6,31.00,725401.25,4162682.25
6,32.00,725398.38,4162680.76
6,33.00,725396.75,4162679.25
6,34.00,725395.25,4162678.75
6,35.00,725393.62,4162677.75
6,36.00,725391.75,4162676.25
6,37.00,725390.75,4162675.25
6,38.00,725388.83,4162674.76
6,39.00,725387.89,4162673.57
6,40.00,725385.75,4162672.75
6,41.00,725384.25,4162671.75
6,42.00,725382.75,4162670.75
6,43.00,725381.25,4162669.75
6,44.00,725379.25,4162668.75
6,45.00,725378.25,4162667.25
6,46.00,725376.85,4162666.10
6,47.00,725375.25,4162665.75
6,48.00,725373.75,4162664.75
6,49.00,725371.75,4162663.75
6,50.00,725369.25,4162663.25
6,51.00,725368.25,4162659.75
6,52.00,725364.75,4162659.75
7,1.00,725484.75,4162734.25
7,2.00,725481.25,4162731.25
7,3.00,725478.75,4162730.25
7,4.00,725476.25,4162728.25
7,5.00,725474.75,4162726.75
7,6.00,725472.75,4162726.25
7,7.00,725469.75,4162724.25
7,8.00,725467.07,4162722.50
7,9.00,725465.25,4162720.75
7,10.00,725462.25,4162719.25
7,11.00,725460.75,4162718.25
7,12.00,725455.71,4162716.88
7,13.00,725456.25,4162714.75
7,14.00,725453.25,4162713.25
7,15.00,725451.44,4162712.17
7,16.00,725449.75,4162711.25
7,17.00,725447.25,4162708.75
7,18.00,725442.25,4162705.75
7,19.00,725439.25,4162703.25
7,20.00,725435.75,4162701.75
7,21.00,725432.75,4162699.25
7,22.00,725429.75,4162697.25
7,23.00,725423.25,4162693.75
7,24.00,725420.25,4162691.75
7,25.00,725414.25,4162687.25
7,26.00,725411.25,4162685.75
7,27.00,725407.25,4162683.25
7,28.00,725404.25,4162681.25
7,29.00,725402.75,4162679.75
7,30.00,725401.25,4162679.25
7,31.00,725400.25,4162678.75
7,32.00,725398.75,4162677.25
7,33.00,725397.33,4162676.11
7,34.00,725394.75,4162675.25
7,35.00,725393.75,4162674.25
7,36.00,725391.75,4162672.75
7,37.00,725388.75,4162671.25
7,38.00,725387.22,4162670.28
7,39.00,725384.75,4162668.25
7,40.00,725382.75,4162667.25
7,41.00,725379.25,4162665.75
7,42.00,725378.25,4162664.25
7,43.00,725376.60,4162663.27
7,44.00,725373.25,4162661.75
7,45.00,725369.75,4162657.75
7,46.00,725365.75,4162655.75
8,1.00,725490.25,4162731.75
8,2.00,725486.75,4162730.25
8,3.00,725484.25,4162729.75
8,4.00,725482.75,4162728.75
8,5.00,725479.75,4162726.25
8,6.00,725477.75,4162725.25
8,7.00,725473.75,4162722.75
8,8.00,725470.25,4162720.75
