ROW,TREE #,DBH,HT,HTLC,DIST from Tree 1,Dist from Tree 1 Ft,Tree,CuFT,CuMe,status
1,1,9.1,60.76472,,,,1,12.195474982415998,0.3453368259820773,Alive
1,2,9.4,61.42418,,,,2,13.136798496624003,0.37199209566920255,Alive
1,3,9.3,61.20566,,,,3,12.818442529492003,0.3629772734191192,Alive
1,4,4.1,48.05122,,,,4,2.141913599516,0.06065213901477467,Alive
1,5,8.1,58.48202,,,,5,9.351562690636001,0.2648063303982015,Alive
1,6,9.2,60.98584,,,,6,12.504672764288,0.3540923177317904,Alive
1,7,8.3,58.94896,,,,7,9.884655373472004,0.27990180927953207,Alive
1,8,10.3,63.33236,,,,8,16.210543572312005,0.4590307202284446,Alive
1,9,8.9,60.31858,,,,9,11.590736637884003,0.32821257122763375,Alive
1,10,8.5,51.0,42.0,,,10,8.989195000000002,0.25454523697600007,Alive
1,11,,35.201,,,,11,0.21949,0.006215254432,Dead
1,12,9.0,60.5423,,,,12,11.890834594000001,0.33671038503137923,Alive
1,13,8.8,60.09356,,,,13,11.295165781632003,0.3198429504053171,Alive
1,14,9.9,62.49728,,,,14,14.797843022464003,0.41902756129850866,Alive
1,15,8.8,60.09356,,802.0,66.83333333333333,15,11.295165781632003,0.3198429504053171,Alive
1,16,9.8,62.28526,,,0.0,16,14.456355761552004,0.4093577348287158,Alive
1,17,9.9,62.49728,,,0.0,17,14.797843022464003,0.41902756129850866,Alive
1,18,11.3,65.32906,,,0.0,18,20.073135057932003,0.5684069508084489,Alive
1,19,9.5,61.6414,,,0.0,19,13.459754513,0.3811371765937184,Alive
1,20,8.7,66.0,53.0,,0.0,20,12.108875199999998,0.34288459726335996,Alive
1,21,9.1,60.76472,,,0.0,21,12.195474982415998,0.3453368259820773,Alive
1,22,12.2,67.01494,,,0.0,22,23.958808733648,0.6784367951489636,Alive
1,23,7.4,56.80678,,,0.0,23,7.623049469264002,0.21586036721125487,Alive
1,24,6.9,55.57118,,,0.0,24,6.516360433924001,0.18452247513533915,Alive
1,25,6.3,54.045559999999995,,,0.0,25,5.324752497832,0.15077995153060916,Alive
1,26,,35.201,,,0.0,26,0.21949,0.006215254432,Dead
1,27,8.0,58.2466,,,0.0,27,9.091612112000002,0.25744536185308164,Alive
1,28,8.5,59.410700000000006,,,0.0,28,10.435456918500003,0.2954987464697809,Alive
1,29,9.0,60.5423,,,0.0,29,11.890834594000001,0.33671038503137923,Alive
1,30,8.0,58.0,49.0,1642.0,136.83333333333334,30,9.05405,0.25638172304,Alive
1,31,11.0,64.74369999999999,,,0.0,31,18.864380725999997,0.5341788961419967,Alive
1,32,,35.201,,,0.0,32,0.21949,0.006215254432,Dead
1,33,8.3,58.94896,,,0.0,33,9.884655373472004,0.27990180927953207,Alive
1,34,9.0,60.5423,,,0.0,34,11.890834594000001,0.33671038503137923,Alive
1,35,5.9,53.002480000000006,,,0.0,35,4.610628862544002,0.130558255374886,Alive
1,36,7.7,57.53254,,,0.0,36,8.337918225908002,0.2361031628193917,Alive
1,37,10.2,63.12554,,,0.0,37,15.850333212208001,0.44883071550345155,Alive
1,38,8.2,58.71614,,,0.0,38,9.615904343568001,0.27229164011594637,Alive
1,39,8.8,60.09356,,,0.0,39,11.295165781632003,0.3198429504053171,Alive
1,40,9.3,63.0,55.0,,0.0,40,13.187800600000003,0.3734363120300801,Alive
1,41,7.4,56.80678,,,0.0,41,7.623049469264002,0.21586036721125487,Alive
1,42,6.0,53.2652,,,0.0,42,4.783252336,0.13544639974804482,Alive
1,43,6.4,54.30308,,,0.0,43,5.513214893184002,0.15611660348731274,Alive
1,44,8.1,58.48202,,,0.0,44,9.351562690636001,0.2648063303982015,Alive
1,45,9.4,61.42418,,2464.0,205.33333333333334,45,13.136798496624003,0.37199209566920255,Alive
1,46,5.1,50.85392,,,0.0,46,3.3675408928960002,0.09535798195595746,Alive
1,47,7.4,56.80678,,,0.0,47,7.623049469264002,0.21586036721125487,Alive
1,48,7.6,57.291920000000005,,,0.0,48,8.095341492096,0.22923416596338403,Alive
1,49,10.2,63.12554,,,0.0,49,15.850333212208001,0.44883071550345155,Alive
1,50,,35.201,,,0.0,50,0.21949,0.006215254432,Dead
1,51,6.5,54.5593,,,0.0,51,5.7057004115000005,0.1615671774123632,Alive
1,52,9.4,61.42418,,,0.0,52,13.136798496624003,0.37199209566920255,Alive
1,53,10.6,63.94502,,,0.0,53,17.319462624336,0.4904317592407977,Alive
1,54,6.0,53.2652,,,0.0,54,4.783252336,0.13544639974804482,Alive
1,55,9.0,60.5423,,,0.0,55,11.890834594000001,0.33671038503137923,Alive
1,56,5.1,50.85392,,,0.0,56,3.3675408928960002,0.09535798195595746,Alive
1,57,7.1,56.069320000000005,,,0.0,57,6.946451522456002,0.1967012784710821,Alive
1,58,6.2,53.78674,,,0.0,58,5.140288239728002,0.1455565140267299,Alive
1,59,7.5,57.05,,,0.0,59,7.857058750000001,0.22248676121200003,Alive
1,60,10.6,58.0,51.0,3268.0,272.3333333333333,60,15.7296644,0.44541376088192003,Alive
2,1,11.6,65.90272,,,0.0,61,21.325020607616,0.6038563435417408,Alive
2,2,5.7,52.47314,,,0.0,62,4.277038518268001,0.12111204431409132,Alive
2,3,9.6,61.85732,,,0.0,63,13.787324054656,0.390412897790883,Alive
2,4,12.4,67.37528,,,0.0,64,24.875392865664008,0.7043915246984346,Alive
2,5,,0.0,,,0.0,65,0.0,0.0,Dead
2,6,7.0,55.8209,,,0.0,66,6.729323358,0.19055290366381442,Alive
2,7,9.6,61.85732,,,0.0,67,13.787324054656,0.390412897790883,Alive
2,8,9.7,62.07194,,,0.0,68,14.119520226348,0.39981963034545104,Alive
2,9,2.5,43.2965,,,0.0,69,0.8635254375,0.0244522771086,Alive
2,10,7.5,67.0,55.0,,0.0,70,9.189115000000001,0.260206331632,Alive
2,11,9.3,61.20566,,,0.0,71,12.818442529492003,0.3629772734191192,Alive
2,12,6.7,55.06784,,,0.0,72,6.102838903488001,0.17281286866228904,Alive
2,13,10.7,64.14664,,,0.0,73,17.698564176368,0.5011667020693773,Alive
2,14,,0.0,,,0.0,74,0.0,0.0,Dead
2,15,8.6,59.63962,,936.0,78.0,75,10.717542182576,0.3034864984755681,Alive
2,16,11.7,66.09134,,,0.0,76,21.751929607588,0.6159450403121479,Alive
2,17,8.6,59.63962,,,0.0,77,10.717542182576,0.3034864984755681,Alive
2,18,,0.0,,,0.0,78,0.0,0.0,Dead
2,19,9.0,60.5423,,,0.0,79,11.890834594000001,0.33671038503137923,Alive
2,20,,0.0,,,0.0,80,0.0,0.0,Dead
2,21,7.8,57.77186,,,0.0,81,8.584809110512,0.24309432262054617,Alive
2,22,7.4,56.80678,,,0.0,82,7.623049469264002,0.21586036721125487,Alive
2,23,12.2,67.01494,,,0.0,83,23.958808733648,0.6784367951489636,Alive
2,24,10.9,64.54598,,,0.0,84,18.471014763444,0.523040030853491,Alive
2,25,7.3,56.562259999999995,,,0.0,85,7.393292748252,0.2093543920937022,Alive
2,26,11.5,65.7128,,,0.0,86,20.902922364000002,0.5919038719969153,Alive
2,27,8.5,59.410700000000006,,,0.0,87,10.435456918500003,0.2954987464697809,Alive
2,28,,0.0,,,0.0,88,0.0,0.0,Dead
2,29,10.8,64.34696,,,0.0,89,18.082412006272,0.512036044299203,Alive
2,30,8.6,62.5,53.0,2010.0,167.5,90,11.22104,0.317743945472,Alive
2,31,9.1,60.76472,,,0.0,91,12.195474982415998,0.3453368259820773,Alive
2,32,9.4,61.42418,,,0.0,92,13.136798496624003,0.37199209566920255,Alive
2,33,9.3,61.20566,,,0.0,93,12.818442529492003,0.3629772734191192,Alive
2,34,8.5,59.410700000000006,,,0.0,94,10.435456918500003,0.2954987464697809,Alive
2,35,9.6,61.85732,,,0.0,95,13.787324054656,0.390412897790883,Alive
2,36,5.7,52.47314,,,0.0,96,4.277038518268001,0.12111204431409132,Alive
2,37,9.3,61.20566,,,0.0,97,12.818442529492003,0.3629772734191192,Alive
2,38,9.3,61.20566,,,0.0,98,12.818442529492003,0.3629772734191192,Alive
2,39,8.6,59.63962,,,0.0,99,10.717542182576,0.3034864984755681,Alive
2,40,7.2,52.0,37.0,,0.0,100,6.635208400000002,0.18788786922112005,Alive
2,41,10.1,62.91742000000001,,,0.0,101,15.494820313796001,0.4387637278616986,Alive
2,42,11.0,64.74369999999999,,,0.0,102,18.864380725999997,0.5341788961419967,Alive
2,43,8.1,58.48202,,,0.0,103,9.351562690636001,0.2648063303982015,Alive
2,44,8.1,58.48202,,,0.0,104,9.351562690636001,0.2648063303982015,Alive
2,45,10.0,62.708,,3051.0,254.25,105,15.143994000000001,0.4288294492992,Alive
2,46,10.2,63.12554,,,0.0,106,15.850333212208001,0.44883071550345155,Alive
2,47,3.9,47.47508,,,0.0,107,1.9380784009839997,0.05488017846498373,Alive
2,48,8.5,59.410700000000006,,,0.0,108,10.435456918500003,0.2954987464697809,Alive
2,49,8.5,59.410700000000006,,,0.0,109,10.435456918500003,0.2954987464697809,Alive
2,50,9.1,62.0,50.0,,0.0,110,12.438933599999999,0.35223079496447995,Alive
2,51,6.1,53.52662,,,0.0,111,4.959796761876,0.14044557294669033,Alive
2,52,9.3,61.20566,,,0.0,112,12.818442529492003,0.3629772734191192,Alive
2,53,9.0,60.5423,,,0.0,113,11.890834594000001,0.33671038503137923,Alive
2,54,5.1,50.85392,,,0.0,114,3.3675408928960002,0.09535798195595746,Alive
2,55,12.0,66.6494,,,0.0,115,23.061572368000004,0.6530299324301825,Alive
2,56,10.4,63.53788,,,0.0,116,16.575461899904006,0.46936403952720174,Alive
2,57,10.9,64.54598,,,0.0,117,18.471014763444,0.523040030853491,Alive
2,58,10.8,64.34696,,,0.0,118,18.082412006272,0.512036044299203,Alive
2,59,11.5,65.7128,,,0.0,119,20.902922364000002,0.5919038719969153,Alive
2,60,7.1,57.0,49.0,4287.0,357.25,120,7.058110600000001,0.19986310623808,Alive
3,1,9.0,60.5423,,,0.0,121,11.890834594000001,0.33671038503137923,Alive
3,2,8.8,60.09356,,,0.0,122,11.295165781632003,0.3198429504053171,Alive
3,3,8.5,59.410700000000006,,,0.0,123,10.435456918500003,0.2954987464697809,Alive
