Row,Tree,X,Y,pre_DBH,pre_HT,status
1,1,725472.25,4162747.75,8.4,67.040927,Alive
1,2,725464.75,4162743.25,9.1,64.059067,Alive
1,3,725463.180249999,4162743.19549999,11.3,67.5602,Alive
1,4,725461.25,4162740.75,7.4,70.452283,Alive
1,5,725459.25,4162739.25,9.2,69.3,Alive
1,6,725455.75,4162737.25,8.5,68.037227,Alive
1,7,725453.2365,4162736.06875,6.3,64.775488,Alive
1,8,725447.75,4162731.75,12.7,69.9424,Alive
1,9,725441.25,4162727.25,7.8,68.331775,Alive
1,10,725440.25,4162725.75,0.0,0.0,Dead
1,11,725434.75,4162722.75,8.4,68.986,Alive
1,12,725432.75,4162722.25,8.9,68.186848,Alive
1,13,725431.25,4162720.25,12.0,68.0,Alive
1,14,725427.75,4162717.75,10.4,69.9,Alive
1,15,725424.75,4162715.75,7.8,68.331775,Alive
1,16,725421.25,4162713.25,7.6,70.4294,Alive
1,17,725419.25,4162712.25,7.9,67.723903,Alive
1,18,725414.25,4162709.25,7.0,63.810872,Alive
1,19,725410.75,4162707.25,8.2,68.186848,Alive
1,20,725408.25,4162705.75,6.8,68.607547,Alive
1,21,725405.75,4162703.25,6.9,67.040927,Alive
1,22,725403.25,4162702.75,8.2,70.077352,Alive
1,23,725400.25,4162700.25,0.0,0.0,Dead
1,24,725398.25,4162699.75,4.7,66.858448,Alive
1,25,725396.25,4162698.25,7.3,68.037227,Alive
1,26,725393.25,4162696.25,10.6,70.4294,Alive
1,27,725390.25,4162693.75,9.3,66.479408,Alive
1,28,725385.25,4162690.25,9.8,70.193528,Alive
1,29,725382.25,4162688.25,8.1,67.040927,Alive
1,30,725380.75,4162689.25,7.9,69.102763,Alive
1,31,725380.25,4162686.25,6.8,63.3004,Alive
1,32,725378.25,4162686.25,10.6,70.0,Alive
1,33,725374.75,4162683.25,11.5,66.671275,Alive
1,34,725373.25,4162682.25,9.4,73.7,Alive
1,35,725369.25,4162679.75,7.6,69.322207,Alive
1,36,725366.25,4162677.75,8.2,61.942075,Alive
1,37,725364.75,4162676.25,6.5,61.656328,Alive
2,1,725477.25,4162747.25,11.0,61.942075,Alive
2,2,725475.75,4162747.75,9.6,67.882912,Alive
2,3,725474.264749999,4162747.00125,7.0,69.522875,Alive
2,4,725473.25,4162745.25,8.4,68.738392,Alive
2,5,725469.25,4162741.75,9.1,68.738392,Alive
2,6,725467.25,4162740.75,7.1,67.218712,Alive
2,7,725465.75,4162739.25,0.0,0.0,Dead
2,8,725464.25,4162738.75,0.0,0.0,Dead
2,9,725461.25,4162736.25,0.0,0.0,Dead
2,10,725459.60725,4162735.4575,9.8,69.424888,Alive
2,11,725457.8135,4162734.51825,0.0,0.0,Dead
2,12,725456.75,4162733.75,10.6,68.331775,Alive
2,13,725455.441499999,4162732.38175,9.9,65.004907,Alive
2,14,725453.75,4162731.75,11.2,70.012223,Alive
2,15,725450.75,4162729.75,7.8,69.522875,Alive
2,16,725448.75,4162728.75,10.6,67.5602,Alive
2,17,725446.75,4162726.75,6.6,70.193528,Alive
2,18,725444.75,4162725.75,12.6,66.282847,Alive
2,19,725441.319249999,4162723.6765,8.4,67.040927,Alive
2,20,725439.25,4162723.25,8.2,67.882912,Alive
2,21,725438.75,4162721.25,6.9,57.861232,Alive
2,22,725436.25,4162720.25,9.7,70.492768,Alive
2,23,725433.25,4162718.25,9.7,65.004907,Alive
2,24,725430.001999999,4162716.22074999,9.0,67.5602,Alive
2,25,725429.361,4162715.09725,10.7,69.6,Alive
2,26,725426.75,4162714.25,10.0,69.2,Alive
2,27,725424.25,4162712.25,7.9,65.665,Alive
2,28,725417.75,4162708.25,10.2,69.322207,Alive
2,29,725408.75,4162702.25,10.8,64.541375,Alive
2,30,725402.75,4162698.25,8.0,69.704767,Alive
2,31,725397.25,4162694.75,0.0,0.0,Dead
2,32,725394.25,4162692.75,11.1,67.040927,Alive
2,33,725392.75,4162691.25,8.0,64.059067,Alive
2,34,725391.25,4162690.25,12.0,68.738392,Alive
2,35,725389.25,4162689.75,10.7,66.282847,Alive
2,36,725387.75,4162688.75,10.0,64.059067,Alive
2,37,725386.25,4162687.75,0.0,0.0,Dead
2,38,725383.25,4162685.75,9.3,67.723903,Alive
2,39,725378.75,4162682.75,6.5,69.424888,Alive
2,40,725377.25,4162681.75,6.3,69.867883,Alive
2,41,725372.75,4162678.25,10.5,70.401823,Alive
2,42,725369.75,4162676.25,10.0,69.322207,Alive
2,43,725367.77925,4162675.6065,10.4,66.671275,Alive
2,44,725366.75,4162674.75,8.2,67.391803,Alive
2,45,725364.25,4162674.25,6.9,67.218712,Alive
3,1,725479.25,4162743.75,8.7,69.924203,Alive
3,2,725475.75,4162742.75,8.7,68.986,Alive
3,3,725473.75,4162741.25,10.7,65.875643,Alive
3,4,725470.75,4162739.25,7.1,65.449663,Alive
3,5,725468.75,4162738.25,9.5,66.081592,Alive
3,6,725467.75,4162736.75,10.1,67.391803,Alive
3,7,725466.25,4162736.25,11.4,67.882912,Alive
3,8,725461.75,4162733.25,8.5,68.607547,Alive
3,9,725458.75,4162731.25,11.1,70.012223,Alive
3,10,725456.75,4162730.25,7.7,63.038123,Alive
3,11,725453.75,4162727.75,9.7,64.059067,Alive
3,12,725452.88075,4162726.76475,8.1,57.861232,Alive
3,13,725451.25,4162725.75,11.8,65.004907,Alive
3,14,725449.25,4162725.25,7.2,69.102763,Alive
3,15,725447.75,4162723.75,11.0,63.3004,Alive
3,16,725445.25,4162722.25,12.2,66.479408,Alive
3,17,725443.25,4162721.25,0.0,0.0,Dead
3,18,725441.25,4162720.25,10.1,66.282847,Alive
3,19,725437.75,4162717.75,8.7,61.656328,Alive
3,20,725434.75,4162715.25,8.5,68.986,Alive
3,21,725431.75,4162713.25,7.3,68.986,Alive
3,22,725428.75,4162711.75,11.2,76.0,Alive
3,23,725426.25,4162709.25,5.1,64.059067,Alive
3,24,725422.75,4162707.25,7.9,69.322207,Alive
3,25,725419.25,4162705.75,6.5,68.986,Alive
3,26,725413.25,4162701.75,9.3,68.186848,Alive
3,27,725410.599999999,4162698.36599999,8.9,65.875643,Alive
3,28,725407.25,4162697.75,10.8,68.864543,Alive
3,29,725404.25,4162695.75,9.5,63.038123,Alive
3,30,725400.75,4162693.25,8.6,69.1,Alive
3,31,725398.75,4162692.25,8.6,69.704767,Alive
3,32,725395.75,4162690.25,6.5,66.671275,Alive
3,33,725393.25,4162688.25,8.9,68.037227,Alive
3,34,725390.25,4162685.75,11.4,70.470472,Alive
3,35,725388.25,4162685.25,7.0,69.214832,Alive
3,36,725386.75,4162683.75,10.1,69.424888,Alive
3,37,725384.25,4162681.75,7.7,69.867883,Alive
3,38,725382.532,4162680.95624999,8.5,67.3,Alive
3,39,725380.25,4162680.25,6.4,69.322207,Alive
3,40,725379.25,4162678.75,9.6,69.322207,Alive
3,41,725376.25,4162676.75,9.8,67.8,Alive
3,42,725374.282499999,4162676.214,8.6,68.986,Alive
3,43,725371.25,4162674.25,7.4,68.472008,Alive
3,44,725370.25,4162673.25,11.4,68.331775,Alive
3,45,725365.88025,4162672.52375,8.3,69.522875,Alive
3,46,725366.75,4162670.75,8.1,69.704767,Alive
3,47,725363.75,4162670.75,7.0,67.5602,Alive
4,1,725476.75,4162739.75,8.7,69.322207,Alive
4,2,725475.69775,4162738.771,9.8,63.810872,Alive
4,3,725474.25,4162737.25,7.8,70.332587,Alive
4,4,725470.75,4162735.75,9.9,60.4664,Alive
4,5,725469.75,4162734.75,8.8,65.449663,Alive
4,6,725466.25,4162732.75,11.6,67.882912,Alive
4,7,725463.25,4162730.75,8.6,70.012223,Alive
4,8,725461.75,4162729.75,7.8,63.3004,Alive
4,9,725459.90225,4162728.85925,10.7,68.037227,Alive
4,10,725457.25,4162726.75,8.6,70.290928,Alive
4,11,725455.75,4162725.75,8.5,69.102763,Alive
4,12,725452.75,4162723.25,8.8,67.882912,Alive
4,13,725449.25,4162721.75,6.6,66.081592,Alive
4,14,725448.25,4162720.25,8.8,68.986,Alive
4,15,725446.671749999,4162719.50425,7.7,67.218712,Alive
4,16,725445.25,4162718.75,6.2,68.037227,Alive
4,17,725441.75,4162716.75,8.9,69.9424,Alive
4,18,725439.75,4162715.25,9.0,65.449663,Alive
4,19,725436.75,4162712.75,6.6,70.332587,Alive
4,20,725430.75,4162709.25,8.3,69.102763,Alive
4,21,725427.25,4162707.25,12.2,67.5602,Alive
4,22,725424.408249999,4162706.97049999,7.5,67.040927,Alive
4,23,725421.25,4162702.75,9.1,70.369552,Alive
4,24,725418.25,4162700.75,10.8,70.470472,Alive
4,25,725415.25,4162699.25,10.6,67.5602,Alive
4,26,725411.75,4162697.25,8.5,68.738392,Alive
4,27,725408.75,4162695.25,8.7,68.738392,Alive
4,28,725406.25,4162692.75,7.3,63.038123,Alive
