Row,Tree,pre_DBH,pre_HT,pre_stem_vol,pre_stem_vol_m3,status,DBH,HT
1,1,8.9,51.846,9.993,0.283,Alive,8.9,51.84551
1,2,5.7,45.203,3.715,0.105,Alive,5.7,45.20263
1,3,6.8,47.486,5.445,0.154,Alive,6.8,47.48612
1,4,11.0,56.205,16.405,0.465,Alive,11.0,56.204899999999995
1,5,9.8,53.714,12.497,0.354,Alive,9.8,53.71382
1,6,7.2,48.316,6.181,0.175,Alive,7.2,48.31648
1,7,10.5,55.167,14.695,0.416,Alive,10.5,55.16695
1,8,9.3,52.676,11.063,0.313,Alive,9.3,52.67587
1,9,11.2,56.62,17.123,0.485,Alive,11.2,56.620079999999994
1,10,6.1,41.0,3.85,0.109,Alive,6.1,41.0
1,11,11.2,56.62,17.123,0.485,Alive,11.2,56.620079999999994
1,12,7.4,48.732,6.571,0.186,Alive,7.4,48.73166
2,1,7.7,49.354,7.184,0.203,Alive,7.7,49.354429999999994
2,2,8.6,51.223,9.236,0.262,Alive,8.6,51.222739999999995
2,3,10.3,54.752,14.044,0.398,Alive,10.3,54.75176999999999
2,4,8.7,51.43,9.484,0.269,Alive,8.7,51.43033
2,5,5.4,44.58,3.313,0.094,Alive,5.4,44.57986
2,6,10.1,54.337,13.412,0.38,Alive,10.1,54.336589999999994
2,7,8.6,51.223,9.236,0.262,Alive,8.6,51.222739999999995
2,8,11.5,57.243,18.237,0.516,Alive,11.5,57.24285
2,9,9.4,52.883,11.341,0.321,Alive,9.4,52.88346
2,10,11.8,50.0,16.789,0.475,Alive,11.8,50.0
2,11,6.6,47.071,5.099,0.144,Alive,6.6,47.07093999999999
3,1,10.7,55.582,15.365,0.435,Alive,10.7,55.58212999999999
3,2,8.8,51.638,9.737,0.276,Alive,8.8,51.637919999999994
3,3,7.0,47.901,5.806,0.164,Alive,7.0,47.90129999999999
3,4,9.3,52.676,11.063,0.313,Alive,9.3,52.67587
3,5,9.9,53.921,12.797,0.362,Alive,9.9,53.921409999999995
3,6,4.7,43.127,2.487,0.07,Alive,4.7,43.126729999999995
3,7,10.4,54.959,14.367,0.407,Alive,10.4,54.95936
3,8,10.0,54.129,13.102,0.371,Alive,10.0,54.129
3,9,9.9,53.921,12.797,0.362,Alive,9.9,53.921409999999995
3,10,10.1,43.0,10.659,0.302,Alive,10.1,43.0
3,11,6.3,46.448,4.607,0.13,Alive,6.3,46.44817
4,1,5.3,44.372,3.186,0.09,Alive,5.3,44.37227
4,2,5.3,44.372,3.186,0.09,Alive,5.3,44.37227
4,3,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
4,4,10.0,54.129,13.102,0.371,Alive,10.0,54.129
4,5,7.7,49.354,7.184,0.203,Alive,7.7,49.354429999999994
4,6,7.2,48.316,6.181,0.175,Alive,7.2,48.31648
4,7,8.1,50.185,8.056,0.228,Alive,8.1,50.18478999999999
4,8,10.1,54.337,13.412,0.38,Alive,10.1,54.336589999999994
4,9,8.3,50.6,8.516,0.241,Alive,8.3,50.59997
4,10,8.0,47.0,7.379,0.209,Alive,8.0,47.0
4,11,9.5,53.091,11.623,0.329,Alive,9.5,53.09105
4,12,7.2,48.316,6.181,0.175,Alive,7.2,48.31648
4,13,9.9,53.921,12.797,0.362,Alive,9.9,53.921409999999995
4,14,9.5,53.091,11.623,0.329,Alive,9.5,53.09105
5,1,10.0,54.129,13.102,0.371,Alive,10.0,54.129
5,2,9.7,53.506,12.201,0.346,Alive,9.7,53.506229999999995
5,3,6.6,47.071,5.099,0.144,Alive,6.6,47.07093999999999
5,4,8.0,49.977,7.832,0.222,Alive,8.0,49.9772
5,5,6.4,46.656,4.768,0.135,Alive,6.4,46.65576
5,6,9.4,52.883,11.341,0.321,Alive,9.4,52.88346
5,7,10.7,55.582,15.365,0.435,Alive,10.7,55.58212999999999
5,8,9.4,52.883,11.341,0.321,Alive,9.4,52.88346
5,9,10.0,54.129,13.102,0.371,Alive,10.0,54.129
5,10,10.9,42.0,12.096,0.343,Alive,10.9,42.0
5,11,9.6,53.299,11.91,0.337,Alive,9.6,53.29863999999999
5,12,12.4,59.111,21.851,0.619,Alive,12.4,59.11116
5,13,8.6,51.223,9.236,0.262,Alive,8.6,51.222739999999995
5,14,9.3,52.676,11.063,0.313,Alive,9.3,52.67587
6,1,11.3,56.828,17.49,0.495,Alive,11.3,56.82767
6,2,8.9,51.846,9.993,0.283,Alive,8.9,51.84551
6,3,8.4,50.808,8.752,0.248,Alive,8.4,50.807559999999995
6,4,8.2,50.392,8.284,0.235,Alive,8.2,50.39238
