Row,Tree,X,Y
1,1,725472.25,4162747.75
1,2,725464.75,4162743.25
1,3,725463.18,4162743.2
1,4,725461.25,4162740.75
1,5,725459.25,4162739.25
1,6,725455.75,4162737.25
1,7,725453.24,4162736.07
1,8,725447.75,4162731.75
1,9,725441.25,4162727.25
1,10,725440.25,4162725.75
1,11,725434.75,4162722.75
1,12,725432.75,4162722.25
1,13,725431.25,4162720.25
1,14,725427.75,4162717.75
1,15,725424.75,4162715.75
1,16,725421.25,4162713.25
1,17,725419.25,4162712.25
1,18,725414.25,4162709.25
1,19,725410.75,4162707.25
1,20,725408.25,4162705.75
1,21,725405.75,4162703.25
1,22,725403.25,4162702.75
1,23,725400.25,4162700.25
1,24,725398.25,4162699.75
1,25,725396.25,4162698.25
1,26,725393.25,4162696.25
1,27,725390.25,4162693.75
1,28,725385.25,4162690.25
1,29,725382.25,4162688.25
1,30,725380.75,4162689.25
1,31,725380.25,4162686.25
1,32,725378.25,4162686.25
1,33,725374.75,4162683.25
1,34,725373.25,4162682.25
1,35,725369.25,4162679.75
1,36,725366.25,4162677.75
1,37,725364.75,4162676.25
2,1,725477.25,4162747.25
2,2,725475.75,4162747.75
2,3,725474.26,4162747.0
2,4,725473.25,4162745.25
2,5,725469.25,4162741.75
2,6,725467.25,4162740.75
2,7,725465.75,4162739.25
2,8,725464.25,4162738.75
2,9,725461.25,4162736.25
2,10,725459.61,4162735.46
2,11,725457.81,4162734.52
2,12,725456.75,4162733.75
2,13,725455.44,4162732.38
2,14,725453.75,4162731.75
2,15,725450.75,4162729.75
2,16,725448.75,4162728.75
2,17,725446.75,4162726.75
2,18,725444.75,4162725.75
2,19,725441.32,4162723.68
2,20,725439.25,4162723.25
2,21,725438.75,4162721.25
2,22,725436.25,4162720.25
2,23,725433.25,4162718.25
2,24,725430.0,4162716.22
2,25,725429.36,4162715.1
2,26,725426.75,4162714.25
2,27,725424.25,4162712.25
2,28,725417.75,4162708.25
2,29,725408.75,4162702.25
2,30,725402.75,4162698.25
2,31,725397.25,4162694.75
2,32,725394.25,4162692.75
2,33,725392.75,4162691.25
2,34,725391.25,4162690.25
2,35,725389.25,4162689.75
2,36,725387.75,4162688.75
2,37,725386.25,4162687.75
2,38,725383.25,4162685.75
2,39,725378.75,4162682.75
2,40,725377.25,4162681.75
2,41,725372.75,4162678.25
2,42,725369.75,4162676.25
2,43,725367.78,4162675.61
2,44,725366.75,4162674.75
2,45,725364.25,4162674.25
3,1,725479.25,4162743.75
3,2,725475.75,4162742.75
3,3,725473.75,4162741.25
3,4,725470.75,4162739.25
3,5,725468.75,4162738.25
3,6,725467.75,4162736.75
3,7,725466.25,4162736.25
3,8,725461.75,4162733.25
3,9,725458.75,4162731.25
3,10,725456.75,4162730.25
3,11,725453.75,4162727.75
3,12,725452.88,4162726.76
3,13,725451.25,4162725.75
3,14,725449.25,4162725.25
3,15,725447.75,4162723.75
3,16,725445.25,4162722.25
3,17,725443.25,4162721.25
3,18,725441.25,4162720.25
3,19,725437.75,4162717.75
3,20,725434.75,4162715.25
3,21,725431.75,4162713.25
3,22,725428.75,4162711.75
3,23,725426.25,4162709.25
3,24,725422.75,4162707.25
3,25,725419.25,4162705.75
3,26,725413.25,4162701.75
3,27,725410.6,4162698.37
