Row,Tree,pre_DBH,pre_HT,pre_LLC,pre_stem_vol
1,1,10.8,69.788672,,19.59304867
1,2,6.8,62.771152,,7.127530603
1,3,6.1,60.770923,,5.601350787
1,4,5.5,58.873375,,4.458078633
1,5,10.5,69.522875,,18.46194479
1,6,8.6,66.858448,,11.98823494
1,7,7.8,65.229632,,9.66468853
1,8,7.9,65.449663,,9.941108053
1,9,9.7,68.607547,,15.58306615
1,10,8.4,67.8,39.4,11.60533384
1,11,7.3,64.059067,,8.344114279
1,12,8.9,67.391803,,12.92417922
1,13,6,60.4664,,5.400251152
1,14,8.9,67.391803,,12.92417922
1,15,8.2,66.081592,,10.79460647
1,16,9.1,67.723903,,13.56704505
1,17,10.1,69.102763,,16.99652139
1,18,10,68.986,,16.638158
1,19,10.5,73.9,46.8,19.6104805
1,20,9.8,68.738392,,15.9313817
1,21,7.7,65.004907,,9.392345428
1,22,7.8,65.229632,,9.66468853
1,23,8.8,67.218712,,12.6083826
1,24,11.2,70.077352,,21.14088722
1,25,11.1,70.012223,,20.74986027
1,26,11,69.9424,,20.36150235
1,27,5.7,,,0.21949
1,28,9.5,68.331775,,14.89681361
1,29,10.2,71.7,43.4,17.97349984
1,30,11.6,70.290928,,22.73035651
1,31,10.2,69.214832,,17.35813447
1,32,8.3,,,0.21949
1,33,9.9,68.864543,,16.28309499
1,34,6.1,,,0.21949
1,35,7.3,,,0.21949
1,36,10.3,69.322207,,17.7229452
1,37,10.1,70.9,44.1,17.43286142
1,38,7.9,65.449663,,9.941108053
1,39,9.5,68.331775,,14.89681361
1,40,9.3,68.037227,,14.22469464
1,41,9.1,67.723903,,13.56704505
1,42,9.6,68.472008,,15.23819501
1,43,10,68.986,,16.638158
1,44,6.6,56.4,38.8,6.06663592
1,45,9.3,68.037227,,14.22469464
1,46,9,67.5602,,13.24374536
1,47,6.2,,,0.21949
1,48,9.9,68.864543,,16.28309499
1,49,7.8,,,0.21949
1,50,10.3,69.322207,,17.7229452
1,51,7.3,64.059067,,8.344114279
1,52,7.9,65.449663,,9.941108053
